,p,a
2238,"R developer/data engineer (Pricing Actuary, Analyst Baltics)",3592
2239,"Data Scientist (Pricing Actuary, Analyst Baltics)",3592
2240,Nodaļu pārzinis/-e,1041
2241,Crew Travel Officer,1500
2242,Software test automation engineer,2537
2243,Reģistrācijas projektu vadītājs/-a (Darbam ar Tonus Elast produkciju),1900
2244,Būvdarbu vadītāja palīgs,1750
2245,Pārdošanas speciālists - komandas līderis,2800
2246,Zāļu reģistrācijas speciālists/-e (uz noteiktu laiku),1950
2247,.NET Developer & Scrum Master,3700
2248,Key Account Manager Latvia,2280
2249,Būvdarbu vadītājs,1750
2250,Būvniecības projektu vadītājs,2575
2251,Latgales rajona tiesas (Daugavpilī) tulks (uz nenoteiktu laiku),1270
2252,Rīgas apgabaltiesas priekšsēdētāja palīgs pētnieciski analītiskajos jautājumos (uz nenoteiktu laiku),1591
2253,Rīgas apgabaltiesas Krimināllietu tiesas kolēģijas tiesas sēžu sekretārs (uz nenoteiktu laiku),1118
2254,Rīgas apgabaltiesas Civillietu tiesas kolēģijas tiesneša palīgs (uz noteiktu laiku),1446
2255,Rīgas apgabaltiesas Civillietu tiesas kolēģijas tiesas sēžu sekretārs (uz noteiktu laiku),1118
2256,SAP Sales and Distribution Functional Analyst,3300
2257,Biroja administrators/-e,1800
2258,SAP Logistics Functional Analyst,3300
2259,SAP Financial Accounting / Controlling Analyst,3500
2260,Sekretāre,1500
2261,Pārdošanas atbalsta administrators uz noteiktu laiku(Baltijas operāciju centrā),1314
2262,Eksporta speciālists/-e,2000
2263,Pārdevēju/konsultantu/-i,200
2264,Finanšu analītiķis/-e / Financial Analyst,2250
2265,Biznesa analītiķis-e,3150
2266,Jurists/-e,3150
2267,Business Developer,1750
2268,Sales and Business Development Manager,4100
2269,Būvniecības nodaļas vadītāja asistents/-e,1600
2270,Galvenais satiksmes organizācijas speciālists (eksperts),2308
2271,Galvenais grāmatvedis/-e,2800
2272,AML Specialist,3000
2273,Android Developer,3750
2274,Iepirkumu speciālists,1350
2275,Personāla vadītāja asistents/-e,1700
2276,"Veikala vadītājs Rīgā, T/C Venta",1325
2277,Pārdošanas speciālists/-e,1800
2278,Lietoto automobiļu jaunāko tirdzniecības konsultants/-e,1500
2279,Masieris/-e,320
2280,Valdes asistents/-e / biroja administrators/-e,2000
2281,Ceļu projektēšanas inženieris/-e,2600
2282,Compensation and Benefits Specialist (HR/C&B),2650
2283,Produkta vadītājs(-a),3650
2284,Farmaceits/e un Farmaceita asistents/e Rēzeknē,1300
2285,Grāmatvedis/-e,2000
2286,Pasūtījumu koordinators/-e ar zviedru vai norvēģu valodas zināšanām,1600
2287,"IT Service Owner, Tietoevry Banking",2900
2288,VIRSMĀSAS VIETNIEKS 39.Sirds ķirurģijas anestezioloģijas un intensīvās terapijas nodaļā,1945
2289,MĀSA Endoskopijas nodaļā,320
2290,Radiologa asistents / Radiogrāfers Invazīvās kardioloģijas laboratorijā,280
2291,Noliktavas vādītājs/-a,2800
2292,RADIOLOGA ASISTENTS Onkoloģijas klīnikas Staru terapijas kabinetā,320
2293,Inženieris (IT/ telekomunikācijas) NRL,1600
2294,Network (Server) Administrator,3100
2295,Key Account Manager,2650
2296,Mенеджер по работе с клиентами,2000
2297,Risk Analyst (Online Gaming- Sportsbook & Casino),2250
2298,Darbinieku datu un pieredzes pētnieks/-ce,2050
2299,Junior Finance Specialist,1000
2300,Klientu attiecību speciālists/-e,1700
2301,Head of Marketing and PR,4000
2302,Junior IT project manager,1800
2303,Klīnisko pētījumu vecākais speciālists Zāļu pētījumu un intelektuālā īpašuma grupā,2150
2304,DWH Engineer / DWH inženieris/-e,3900
2305,Acquiring project manager,2100
2306,Java izstrādātājs/-a,3500
2307,Datorsistēmu tehniķis/-ķe,1350
2308,Elektriķi Zviedrijā / Электрики в Швеции,640
2309,Elektriķis / Automatizācijas speciālists / Automation specialist in Sweden,3500
2310,"Test Engineer, Tietoevry Banking",3800
2311,Employer Branding Specialist ( temporary position ),1180
2312,Kredītspeciālists/-e,1300
2313,Intelligent Automation Developer(Power Platform Developer),3850
2314,Fraud Investigator,1900
2315,Mācību centra lietvedi-administratoru/i Valmierā,1000
2316,Nekustamo īpašumu aģents,2000
2317,Principal Software Engineer,6250
2318,Help desk speciālists(-e),1557
2319,Account Executive,2200
2320,Jaunākais reģistrācijas dokumentu izstrādes speciālists/-e,1400
2321,Restorāna administrators (-e),1400
2322,Aptiekas vadītājs,1846
2323,Ķīmiķis- Tehnologs,2250
2324,Informācijas sistēmu drošības pārvaldnieks/-ce,2350
2325,Prakses vietas Tehnikas biznesā,0
2326,Medicīnas pārstāvis,1700
2327,NEPCon SIA Forestry Specialist,2150
2328,Galvenais grāmatvedis /-e,2500
2329,Komunikācijas projektu vadītājs,2000
2330,Promotions team assistant,1465
2331,Sales Specialist,1970
2332,Account Manager,2480
2333,Junior Partnerships manager,1525
2334,Finanšu analītiķis,2000
2335,Business Development/Sales Manager,3000
2336,Produktu speciālists/-te,1800
2337,Remontatslēdznieks,1300
2338,Google Ads Specialist,2220
2339,Projektu vadītāja asistents,975
2340,Tāmju inženieris,1790
2341,Senior Business System Analyst,3650
2342,Assistant in Payments department,1600
2343,NESTANDARTA MĒBEĻU PROJEKTU KOORDINATORS/ -E,1800
2344,Telpu un teritoriju uzkopšanas darbu vadītājs/-a,1850
2345,Business Development Manager,3500
2346,Java Developer,2850
2347,Viesnīcas uzņemšanas nodaļas vecākais/-ā administrators/-e,1300
2348,Ceļu horizontālā marķējuma uzklāšanas mašīnas operatoru,2000
2349,Rasētājs / Konstruktors,1900
2350,Remontatslēdznieks,1300
2351,Junior Project Manager Assistant,1300
2352,Partnership Executive,3275
2353,German Speaking Commercial Representative Baltics / Pārdošanas speciālists/-e Baltijā,2500
2354,Accounts Receivable Team Leader,1750
2355,Nekustamā īpašuma eksperts,1800
2356,Ilgtspējas eksperts/-e,1700
2357,Iepircējs/-a,2250
2358,Game Presenter,360
2359,Senior Lawyer,3500
2360,Ceļu būvdarbu vadītājs/-a,2450
2361,Izpilddokumentācijas speciālists/-e,1750
2362,Mid/Senior Manual mobile QA,2400
2363,Online Marketing Specialist,2000
2364,Pārdošanas un nomas projektu speciālists,2150
2365,Klientu konsultants (-e),1314
2366,Iepirkumu un plānošanas profesionālis/e,1950
2367,Tet pakalpojumu prezentētājs/-a (Promoters) Jēkabpilī uz noteiktu laiku,900
2368,Tet pakalpojumu prezentētājs/-a (Promoters),900
2369,Pārdošanas speciālists (auto nozare),2200
2370,Klientu projektu vadītājs/-a,2000
2371,Loģistikas koordinators/-e – direktora asistents/-e,2150
2372,B2B Sales manager,2840
2373,Jauno produktu tehnologs/-ģe,1800
2374,Active Sales Manager (Latvia Branch),4154
2375,Noliktavas pārzinis/-e,1550
2376,Komercīpašumu attīstības projektu vadītājs/-a,3500
2377,Iepirkumu un sortimenta speciālists/-e,1350
2378,Test Engineer,3100
2379,Būvtehniķis/-e,1400
2380,Administrators/-e - Lietvedis/-e,1075
2381,Tirdzniecības pārstāvis/-e Rīgā,2200
2382,Jaunākais kredītu projektu vadītājs/-a,1750
2383,Būvniecības projektu vadītājs/-a,2850
2384,Klientu apkalpošanas koordinators/ Customer Care Coordinator (Scandinavian speaking),1400
2385,Būvdarbu vadītājs/-a,2550
2386,Būvdarbu vadītājs/-a,2550
2387,BŪVUZRAUGS/-DZE  ūdensapgādes un kanalizācijas būvdarbu būvuzraudzībā,2500
2388,Vadošais/-ā telekomunikāciju tīklu inženieris/-e,2400
2389,Flight Dispatcher,2150
2390,Atbildīgās amatpersonas vietnieks/-ce,2250
2391,Biznesa analītiķis (IT),3000
2392,IT projektu vadītājs/-a,3400
2393,Elektronikas regulētājs/-a,1750
2394,Produktu vadītājs/-a (Eiropas digitālās identitātes maks),3225
2395,Telepārdošanas speciālists/-e,1150
2396,Rēķinvedis/-e,1100
2397,Projektu vadītājs (darbs Daugavpilī),1175
2398,"Automatizācijas sistēmu inženieris (Automatizācijas virziena vadītājs PLC, SCADA, MES, BMS)",2500
2399,Application Lead Engineer for ServiceNow,4550
2400,Maiņas vadītājs/-a (veikalā),1230
2401,Plant Manager,5000
2402,Finance Expert - General Accounting Tax Integration,2500
2403,Scrum Master within Data and Analytics,4800
2404,Veikala nodaļas vadītājs/-a,200
2405,Maiņas vadītājs/-a,200
2406,Maiņas vadītājs/-a,200
2407,Veikala nodaļas vadītājs/-a,200
2408,Veikala nodaļas vadītājs/-a,200
2409,General operatives,560
2410,Maiņas vadītājs/-a,240
2411,Veikala nodaļas vadītājs/-a,200
2412,Preču pieņēmējs/-a,200
2413,Praktikants/-e Celtniecības daļā,700
2414,Maiņas vadītājs/-a,200
2415,Maiņas vadītājs/-a,200
2416,Maiņas vadītājs/-a,200
2417,Maiņas vadītājs/-a,200
2418,Elektromehānisko iekārtu mehāniķis,1400
2419,Junior Account Manager,1950
2420,BIS datu ievades operators/ -e,1400
2421,Business Analyst,2500
2422,Projektu vadītājs (ELT/ EST/ KT),3000
2423,Mehatroniķis/-e,1675
2424,Kvalitātes vadības sistēmu speciālists/ -e,2000
2425,Pakomātu projektu vadītājs,1500
2426,"Veselības, ceļojumu un nelaimes gadījumu atlīdzību nodaļas eksperts (uz noteiktu laiku)",1569
2427,Legal Assistant,1850
2428,praktikants/-e  Darījumu konsultāciju - M&A  komandā,815
2429,Senior Lawyer,3750
2430,Ergoterapeits/-e (2 vakances),1605
2431,Galvenais/-ā Grāmatvedis/-e,2750
2432,Senior Consultant Audit & Assurance,2450
2433,PHP Full-stack programmētājs/-a,3700
2434,QA Testētājs,2350
2435,Personāla speciālists,1400
2436,Operations Specialist/Manager,1100
2437,Produktu grupas vadītāja asistents Mēbeļu kategorijā,1500
2438,būvdarbu vadītājs ( ceļu būves joma),2500
2439,Ražošanas iekārtu mehāniķis/metālapstrādātājs/-a,1460
2440,HR Speciālists/-e,2000
2441,Projektu vadītāju asistents/-e,1125
2442,Office Manager,1400
2443,Microsoft Dynamics AX (Axapta) Specialist,2500
2444,Social Media Marketing Manager,2150
2445,Grāmatvedis/-e,1650
2446,Field Service Engineer / Servisa inženieris/-e,1750
2447,Klientu atbalsta speciālists,1450
2448,Nekustamo īpašumu aģents/-e / mākleris/-e (Liepājā vai Rīgā),3000
2449,Projekta finananšu kontrolieris/-e,2000
2450,Team Manager,2000
2451,Farmaceite/-s vai Farmaceita asistente/-s,1450
2452,App Store Optimization (ASO) specialist,1400
2453,Grāmatvedis/-e,1500
2454,Direktors/-e,5000
2455,Personāla daļas vadītājs/-a,3410
2456,Projektu asistents/-e,1250
2457,Dinamisks Pārdošanas Speciālists (digitālajā izstrādes aģentūrā),1500
2458,Medicīnas pārstāvis,2800
2459,Pārdevējs/-a Circle K Ulmanis2 (K.Ulmaņa gatve 117) darbs bez nakts maiņām,240
2460,Social Media Ads Specialist / Social Media Marketing Manager,2050
2461,Būvdarbu vadītājs (kontakttīkli),2500
2462,Klientu apkalpošanas speciālists,1190
2463,"Master Data Specialist, Tietoevry Latvia",1400
2464,Actuary,2500
2465,Datu ievades speciālists,1200
2466,Arhitekts/-e,3000
2467,Senior JavaScript Developer-Software Engineer,4250
2468,Senior PHP Developer-Software Engineer,4250
2469,Arhitekta palīgs/ palīdze,2300
2470,Client support with different languages,1500
2471,Mašīnmācīšanās eksperts/-e,2900
2472,Klientu servisa vadītājs,1140
2473,Veselības centra vadītājs,2100
2474,Mašīnmācīšanās inženieris/-e,2300
2475,Tirdzniecības pārstāvis Zemgalē,1900
2476,Bite One IT biznesa klientu vadītājs/-a,2750
2477,SEO Web Developer,2400
2478,Sistēmu analītiķis/-e,2800
2479,Biroja vadītājs/-a,1200
2480,Datu aizsardzības speciālists/-e,3750
2481,Senior Node.js Developer,4250
2482,Tax Manager,8000
2483,Senior Golang Developer,4250
2484,Software Development Engineer in Test,5125
2485,PĀRDOŠANAS/PRODUKTU VADĪTĀJA ASISTENTS-/E (2 VAKANCES),1550
2486,Mazo un vidējo uzņēmumu pārdošanas pārvaldes vadītājs/a,2500
2487,Pārdošanas speciālists/-e Zvanu centrā (Vidzemes reģionā),1400
2488,"Business Development Manager, Baltics / Biznesa attīstības vadītājs/-a Baltijā",4250
2489,Kvalitātes vadības sistēmas vadītājs/-a,2150
2490,Mēbeļu konstruktors,1600
2491,Production Manager / Ražošanas vadītājs/-a,2650
2492,Atbilstības un AML vadītājs/-a,3355
2493,IKT & IoT biznesa virziena attīstības vadītājs/-a,3500
2494,Autoparka tehniskais speciālists/-e (ar vācu valodas zināšanām),2000
2495,Grāmatveža palīgs,1000
2496,Ekspeditors,2050
2497,Vecākais sistēmu inženieris/-e,3100
2498,Pārdošanas projektu vadītājs/-a,2500
2499,"KEY-ACCOUNT MANAGER  (Central and Western Europe, Middle Asia)",2500
2500,Chief Technology Officer (CTO),6250
2501,Executive Business Assistant,3000
2502,Galvenais grāmatvedis/-e,3000
2503,Konstruktors/-e,1985
2504,Bērza saplākšņa tirdzniecības vadītājs,4250
2505,"Accounts Payables Accountant, Tietoevry Latvia",1400
2506,Finanšu un digitalizācijas vadītājs,4400
2507,SEO specialist,2400
2508,Viesmīlības pakalpojumu speciālists,280
2509,Zemgales rajona tiesas (Jēkabpilī) arhivāra amats  (uz nenoteiktu laiku),1062
2510,Senior Product Designer,3000
2511,"Darba aizsardzības koordinators/-e (Latvijā: Rēzekne, Kuldīga, Rīga)",2200
2512,"Darba aizsardzības koordinators/-e (Latvijā: Kuldīga, Rēzekne, Rīga)",2200
2513,Office Administrator,1300
2514,"Maiņu vadītājs Rīgā, T/C Mols",1175
2515,Logistics Specialist,2125
2516,IT Sistēmanalītiķis/-e,2650
2517,Marketing Intern (paid),750
2518,Logistics Project Manager,2750
2519,IT Application Analyst,2700
2520,Atslēdznieks,1875
2521,REĢIONA VADĪTĀJS/A Pārdošanas nodaļā (Starptautiskiem tirgiem),2800
2522,Personāla speciālists,1600
2523,Autoparka attīstības vadītājs/-a,3750
2524,IT Project Manager,3000
2525,Senior Data Engineer,4750
2526,Grāmatvede-uzskaitvede,1275
2527,Maiņas vadītājs/-a (veikalā),1230
2528,Vecākais kasieris/-e,1041
2529,Nodaļu pārzinis/-e,1041
2530,Junior Digital Marketing Specialist,1950
2531,Measurer - Installer for France,1900
2532,ADMINISTRATĪVAIS VADĪTĀJS-/A,3000
2533,.NET Team Lead / .NET komandas vadītājs/-a,6250
2534,Inventarizators/-re,1000
2535,Pārskatu departamenta vecākais eksperts,1600
2536,"AEM Frontend Developer, Reporting System",4600
2537,"Salesforce Associate, Poland Latvia Bulgaria",2000
2538,"Norwegian Speaking Customer Support Specialist,Tietoevry Banking",2725
2539,Senior specialist in International Payment investigation Team,1900
2540,Automehāniķis,4078
2541,Arhitekts,3000
2542,Tirdzniecības pārstāvis/e,1600
2543,Izmaksu kontrolieris/-e,1675
2544,"Pārdevējs/-a Apdares materiālu nodaļā Maskavas ielā 418a, Rīgā",240
2545,Pārdošanas un klientu attiecību speciālists/-e,1750
2546,Elektro sadaļņu projektētājs/-a,1500
2547,Jaunākais/-ā digitālā mārketinga speciālists/-e,1500
2548,Jurists/-e,1700
2549,"Lauksaimniecības tehnikas mehāniķis Viduslatvijā (Madona, Aizkraukle, Ilūkste, Jaunjelgava)",2350
2550,"Farmaceits/-e un Farmaceita asistents/-e Rīgā, Rīgas rajonā",1500
2551,Farmaceits/-e un Farmaceita asistents/-e Liepājā,1600
2552,Pārdošanas pārstāvis,1800
2553,Operators Asfaltbetona ražošanas rūpnīcā,400
2554,Accounts Payable Coordinator,1125
2555,Rīgas filiāles vadītājs/-a,2500
2556,Noliktavas pārzinis/-e,1300
2557,Customer Service Specialist - Airbnb Team,1150
2558,SISTĒMU ANALĪTIĶIS/-E,3000
2559,Klientu atbalsta operators (daļēja slodze),1350
2560,Accountant,2000
2561,Saimniecības vadītājs/-a,1700
2562,Pakalpojumu ierīkošanas inženieris/-e Rīgā,1500
2563,Iepakošanas ceha un noliktavas vadītājs/-a,2750
2564,"Tirdzniecības pārstāvis/-e (Rīga, Ādaži)",1350
2565,Industriālo projektu vadītājs,2500
2566,MIG/MAG metinātājs/-a,640
2567,Director of Continuous Improvement,5250
2568,Junior Finnish Speaking IT Support Specialist,1600
2569,Būvdarbu vadītājs/-a,2500
2570,Būvdarbu vadītāja palīgs/-dze,1400
2571,Juriskonsults/-e,2250
2572,Senior IT Specialist,3250
2573,Administrators ekspedīcijas nodaļā,1325
2574,B2B Pārdošanas projektu menedžeris,2500
2575,Attīstības tehnologs/-ģe,1400
2576,Pārdošanas pārstāvis/-e (B2B),2150
2577,Senior IT Business Analyst,3850
2578,Apdares materiālu pārdošanas speciālists/-e,1890
2579,Risk Analyst,2550
2580,Market Researcher,2150
2581,Senior System Analyst (with Product Owner skills),3300
2582,Eksporta projektu vadītājs/-a,1800
2583,Pārdošanas speciālists/-e www.220.lv (Akropole),1025
2584,Vides pārvaldības speciālists/-e,1900
2585,Marketing Project Manager,2150
2586,Tehniskais inženieris (Vangažos),2600
2587,Jurista palīgs/-dze,1350
2588,Galvenais mehāniķis (Jēkabpils),2900
2589,Siltumenerģētiķis (Jēkabpilī),2750
2590,Personāla vadības speciālists (uz noteiktu laiku),1850
2591,Funkcionālais/ā konsultants/e,3000
2592,IT User Support Specialist,1883
2593,Legal and Compliance Lawyer,3200
2594,Noliktavas darbinieks/-ce,1000
2595,Parādu piedziņas speciālists/-e,1300
2596,Informācijas tehnoloģiju struktūrvienības vadītājs/-a,4800
2597,Galvenais inženieris,1471
2598,Jaunākais Starptautisko Zīmolu vadītājs/-a,2800
2599,Būvinženieris,1800
2600,Loģistikas - Noliktavas speciālists,1800
2601,Crew Control Officer,1500
2602,Administrators - Datu apstrādes speciālists,1800
2603,Uzkopšanas darbu meistars,1315
2604,Account manager in Promotions department,1885
2605,Finanšu analītiķis,2000
2606,Back-end programmētājs/a,3150
2607,Vides aizsardzības vecākais speciālists,1700
2608,.NET Developer (Senior OR Lead),5500
2609,PROJEKTĒŠANAS INŽENIERIS/(-E) ELEKTROAPGĀDES TĪKLU PROJEKTĒŠANĀ,2150
2610,AWS Cloud Architect,3562
2611,Biznesa analītiķis/-e (IT),2750
2612,"Global Facility Manager, Tietoevry Banking",3800
2613,Darba aizsardzības koordinators/-e (Latvijā),2200
2614,Projektu vadītājs,1400
2615,Struktūrvienības vadītājs,1500
2616,Filiāļu un struktūrvienību direktors,2850
2617,Pārdošanas projektu vadītājs,1750
2618,Pasākumu projektu vadītājs,2050
2619,Projektu vadītājs/-a (elektroapgādes / vājstrāvas tīklu jomā),3000
2620,Saldēšanas un dzesēšanas  sistēmu tehniķis,1795
2621,Galvenais grāmatvedis/-e,3050
2622,Grafiskais dizaineris/-e,1500
2623,Inženieris/-e – enerģētiķis/-e,2090
2624,Loģistikas speciālists,2500
2625,Ekspeditors / Pārdošanas speciālists,2400
2626,Senior Software Engineer (PHP),4000
2627,"PHP Developer (""Middle"")",2750
2628,Tirdzniecības pārstāvis/-e (Kurzeme),1462
2629,Middle PSP Project Manager,3000
2630,Iepirkuma speciālists/-e / Rezerves daļu pircējs/-a,2250
2631,Preču kategorijas vadītājs/-a,2000
2632,Country Manager - Scandinavia,3250
2633,Office administrator,1600
2634,Biroja vadītājs/-a,1250
2635,Video Specialist,1000
2636,Apaļkoku mērnieks koklaukumā Rīgā,1396
2637,Finnish speaking game presenter,2925
2638,Vadītāja asistents/-e,1400
2639,Biroja administrātors,1000
2640,Facilities and Maintenance Coordinator,1677
2641,Stjuarts/e // Cabin Crew,1500
2642,Vecākais remontatslēdznieks-mehatroniķis/-e,1800
2643,Business Development Manager in Payment Department,3300
2644,Internship in HR department (data analytics),700
2645,Personāla speciālists/-e,2000
2646,Klientu piesaistes vadītājs,2050
2647,"Saziņas menedžeris (pilna vai nepilna slodze,attālināti)",750
2648,Farmaceits/e un Farmaceita asistents/e Tukumā,1300
2649,Konferenču un rezervāciju aģents/-e,1525
2650,"Rakstnieks, satura veidotājs (attālināti)",950
2651,SEO Specialist,1950
2652,Internal Auditor,2450
2653,Sales Development Representative,3150
2654,Computer Operator/Operation Specialist,1200
2655,Technical Support Specialist (night shifts),1400
2656,HoReCa tirdzniecības pārstāvis/-e Rīgā,2000
2657,"R developer/data engineer (Pricing Actuary, Analyst Baltics)",3592
2658,"Data Scientist (Pricing Actuary, Analyst Baltics)",3592
2659,Nodaļu pārzinis/-e,1041
2660,Crew Travel Officer,1500
2661,Software test automation engineer,2537
2662,Reģistrācijas projektu vadītājs/-a (Darbam ar Tonus Elast produkciju),1900
2663,Būvdarbu vadītāja palīgs,1750
2664,Pārdošanas speciālists - komandas līderis,2800
2665,Zāļu reģistrācijas speciālists/-e (uz noteiktu laiku),1950
2666,.NET Developer & Scrum Master,3700
2667,Key Account Manager Latvia,2280
2668,Būvdarbu vadītājs,1750
2669,Būvniecības projektu vadītājs,2575
2670,Latgales rajona tiesas (Daugavpilī) tulks (uz nenoteiktu laiku),1270
2671,Rīgas apgabaltiesas priekšsēdētāja palīgs pētnieciski analītiskajos jautājumos (uz nenoteiktu laiku),1591
2672,Rīgas apgabaltiesas Krimināllietu tiesas kolēģijas tiesas sēžu sekretārs (uz nenoteiktu laiku),1118
2673,Rīgas apgabaltiesas Civillietu tiesas kolēģijas tiesneša palīgs (uz noteiktu laiku),1446
2674,Rīgas apgabaltiesas Civillietu tiesas kolēģijas tiesas sēžu sekretārs (uz noteiktu laiku),1118
2675,SAP Sales and Distribution Functional Analyst,3300
2676,Biroja administrators/-e,1800
2677,SAP Logistics Functional Analyst,3300
2678,SAP Financial Accounting / Controlling Analyst,3500
2679,Sekretāre,1500
2680,Pārdošanas atbalsta administrators uz noteiktu laiku(Baltijas operāciju centrā),1314
2681,Eksporta speciālists/-e,2000
2682,Pārdevēju/konsultantu/-i,200
2683,Finanšu analītiķis/-e / Financial Analyst,2250
2684,Biznesa analītiķis-e,3150
2685,Jurists/-e,3150
2686,Business Developer,1750
2687,Sales and Business Development Manager,4100
2688,Būvniecības nodaļas vadītāja asistents/-e,1600
2689,Galvenais satiksmes organizācijas speciālists (eksperts),2308
2690,Galvenais grāmatvedis/-e,2800
2691,AML Specialist,3000
2692,Android Developer,3750
2693,Iepirkumu speciālists,1350
2694,Personāla vadītāja asistents/-e,1700
2695,"Veikala vadītājs Rīgā, T/C Venta",1325
2696,Pārdošanas speciālists/-e,1800
2697,Lietoto automobiļu jaunāko tirdzniecības konsultants/-e,1500
2698,Masieris/-e,320
2699,Valdes asistents/-e / biroja administrators/-e,2000
2700,Ceļu projektēšanas inženieris/-e,2600
2701,Compensation and Benefits Specialist (HR/C&B),2650
2702,Produkta vadītājs(-a),3650
2703,Farmaceits/e un Farmaceita asistents/e Rēzeknē,1300
2704,Grāmatvedis/-e,2000
2705,Pasūtījumu koordinators/-e ar zviedru vai norvēģu valodas zināšanām,1600
2706,"IT Service Owner, Tietoevry Banking",2900
2707,VIRSMĀSAS VIETNIEKS 39.Sirds ķirurģijas anestezioloģijas un intensīvās terapijas nodaļā,1945
2708,MĀSA Endoskopijas nodaļā,320
2709,Radiologa asistents / Radiogrāfers Invazīvās kardioloģijas laboratorijā,280
2710,Noliktavas vādītājs/-a,2800
2711,RADIOLOGA ASISTENTS Onkoloģijas klīnikas Staru terapijas kabinetā,320
2712,Inženieris (IT/ telekomunikācijas) NRL,1600
2713,Network (Server) Administrator,3100
2714,Key Account Manager,2650
2715,Mенеджер по работе с клиентами,2000
2716,Risk Analyst (Online Gaming- Sportsbook & Casino),2250
2717,Darbinieku datu un pieredzes pētnieks/-ce,2050
2718,Junior Finance Specialist,1000
2719,Klientu attiecību speciālists/-e,1700
2720,Head of Marketing and PR,4000
2721,Junior IT project manager,1800
2722,Klīnisko pētījumu vecākais speciālists Zāļu pētījumu un intelektuālā īpašuma grupā,2150
2723,DWH Engineer / DWH inženieris/-e,3900
2724,Acquiring project manager,2100
2725,Java izstrādātājs/-a,3500
2726,Datorsistēmu tehniķis/-ķe,1350
2727,Elektriķi Zviedrijā / Электрики в Швеции,640
2728,Elektriķis / Automatizācijas speciālists / Automation specialist in Sweden,3500
2729,"Test Engineer, Tietoevry Banking",3800
2730,Employer Branding Specialist ( temporary position ),1180
2731,Kredītspeciālists/-e,1300
2732,Intelligent Automation Developer(Power Platform Developer),3850
2733,Fraud Investigator,1900
2734,Mācību centra lietvedi-administratoru/i Valmierā,1000
2735,Nekustamo īpašumu aģents,2000
2736,Principal Software Engineer,6250
2737,Help desk speciālists(-e),1557
2738,Account Executive,2200
2739,Jaunākais reģistrācijas dokumentu izstrādes speciālists/-e,1400
2740,Restorāna administrators (-e),1400
2741,Aptiekas vadītājs,1846
2742,Ķīmiķis- Tehnologs,2250
2743,Informācijas sistēmu drošības pārvaldnieks/-ce,2350
2744,Prakses vietas Tehnikas biznesā,0
2745,Medicīnas pārstāvis,1700
2746,NEPCon SIA Forestry Specialist,2150
2747,Galvenais grāmatvedis /-e,2500
2748,Komunikācijas projektu vadītājs,2000
2749,Promotions team assistant,1465
2750,Sales Specialist,1970
2751,Account Manager,2480
2752,Junior Partnerships manager,1525
2753,Finanšu analītiķis,2000
2754,Business Development/Sales Manager,3000
2755,Produktu speciālists/-te,1800
2756,Remontatslēdznieks,1300
2757,Google Ads Specialist,2220
2758,Projektu vadītāja asistents,975
2759,Tāmju inženieris,1790
2760,Senior Business System Analyst,3650
2761,Assistant in Payments department,1600
2762,NESTANDARTA MĒBEĻU PROJEKTU KOORDINATORS/ -E,1800
2763,Telpu un teritoriju uzkopšanas darbu vadītājs/-a,1850
2764,Business Development Manager,3500
2765,Java Developer,2850
2766,Viesnīcas uzņemšanas nodaļas vecākais/-ā administrators/-e,1300
2767,Ceļu horizontālā marķējuma uzklāšanas mašīnas operatoru,2000
2768,Rasētājs / Konstruktors,1900
2769,Remontatslēdznieks,1300
2770,Junior Project Manager Assistant,1300
2771,Partnership Executive,3275
2772,German Speaking Commercial Representative Baltics / Pārdošanas speciālists/-e Baltijā,2500
2773,Accounts Receivable Team Leader,1750
2774,Nekustamā īpašuma eksperts,1800
2775,Ilgtspējas eksperts/-e,1700
2776,Iepircējs/-a,2250
2777,Game Presenter,360
2778,Senior Lawyer,3500
2779,Ceļu būvdarbu vadītājs/-a,2450
2780,Izpilddokumentācijas speciālists/-e,1750
2781,Mid/Senior Manual mobile QA,2400
2782,Online Marketing Specialist,2000
2783,Pārdošanas un nomas projektu speciālists,2150
2784,Klientu konsultants (-e),1314
2785,Iepirkumu un plānošanas profesionālis/e,1950
2786,Tet pakalpojumu prezentētājs/-a (Promoters) Jēkabpilī uz noteiktu laiku,900
2787,Tet pakalpojumu prezentētājs/-a (Promoters),900
2788,Pārdošanas speciālists (auto nozare),2200
2789,Klientu projektu vadītājs/-a,2000
2790,Loģistikas koordinators/-e – direktora asistents/-e,2150
2791,B2B Sales manager,2840
2792,Jauno produktu tehnologs/-ģe,1800
2793,Active Sales Manager (Latvia Branch),4154
2794,Noliktavas pārzinis/-e,1550
2795,Komercīpašumu attīstības projektu vadītājs/-a,3500
2796,Iepirkumu un sortimenta speciālists/-e,1350
2797,Test Engineer,3100
2798,Būvtehniķis/-e,1400
2799,Administrators/-e - Lietvedis/-e,1075
2800,Tirdzniecības pārstāvis/-e Rīgā,2200
2801,Jaunākais kredītu projektu vadītājs/-a,1750
2802,Būvniecības projektu vadītājs/-a,2850
2803,Klientu apkalpošanas koordinators/ Customer Care Coordinator (Scandinavian speaking),1400
2804,Būvdarbu vadītājs/-a,2550
2805,Būvdarbu vadītājs/-a,2550
2806,BŪVUZRAUGS/-DZE  ūdensapgādes un kanalizācijas būvdarbu būvuzraudzībā,2500
2807,Vadošais/-ā telekomunikāciju tīklu inženieris/-e,2400
